rating,vader_sentiment,count,vader_sentiment_score,Element type,Mentions
1,neg,10,-0.5042500000000001,has_leaderboard,60
1,pos,17,0.7425529411764706,has_leaderboard,60
2,neg,1,-0.0772,has_leaderboard,60
2,pos,6,0.8245833333333333,has_leaderboard,60
3,neg,1,-0.69,has_leaderboard,60
3,pos,8,0.6926375,has_leaderboard,60
4,neg,2,-0.58205,has_leaderboard,60
4,pos,3,0.798,has_leaderboard,60
5,neg,2,-0.29645,has_leaderboard,60
5,pos,10,0.8479699999999999,has_leaderboard,60
1,neg,3,-0.6508666666666666,has_challenges,53
1,pos,3,0.769,has_challenges,53
2,neg,1,-0.8247,has_challenges,53
2,pos,5,0.8622399999999999,has_challenges,53
3,pos,8,0.9366375,has_challenges,53
4,pos,12,0.9023916666666666,has_challenges,53
5,neg,1,-0.3288,has_challenges,53
5,pos,20,0.8776849999999999,has_challenges,53
1,neg,2,-0.51455,has_points,9
2,neg,1,-0.6808,has_points,9
2,pos,1,0.0402,has_points,9
3,pos,1,0.5707,has_points,9
4,neg,1,-0.1406,has_points,9
4,pos,2,0.9237,has_points,9
5,pos,1,0.836,has_points,9
1,pos,1,0.7773,has_badges,9
2,pos,1,0.6168,has_badges,9
3,pos,1,0.9822,has_badges,9
4,pos,3,0.7488,has_badges,9
5,pos,3,0.7768666666666667,has_badges,9
1,neg,5,-0.7096,has_feedback,29
1,pos,3,0.5899,has_feedback,29
2,pos,2,0.86635,has_feedback,29
3,neg,1,-0.678,has_feedback,29
3,pos,6,0.6353666666666666,has_feedback,29
4,neg,1,-0.6288,has_feedback,29
4,pos,4,0.8816999999999999,has_feedback,29
5,neg,1,-0.0964,has_feedback,29
5,pos,6,0.7264333333333334,has_feedback,29
1,neg,12,-0.630025,has_social,174
1,pos,17,0.8220000000000001,has_social,174
2,neg,9,-0.6975333333333333,has_social,174
2,pos,18,0.7448888888888888,has_social,174
3,neg,2,-0.7282500000000001,has_social,174
3,pos,31,0.8722096774193548,has_social,174
4,neg,2,-0.6646,has_social,174
4,pos,22,0.7746045454545455,has_social,174
5,neg,1,-0.3288,has_social,174
5,pos,60,0.8756783333333333,has_social,174
1,neg,5,-0.53784,has_tracking,163
1,neu,1,0.0,has_tracking,163
1,pos,22,0.7674590909090909,has_tracking,163
2,neg,10,-0.57149,has_tracking,163
2,pos,20,0.7458,has_tracking,163
3,neg,6,-0.5614,has_tracking,163
3,pos,24,0.7055541666666666,has_tracking,163
4,neg,2,-0.2851,has_tracking,163
4,pos,24,0.7774875,has_tracking,163
5,neg,3,-0.7432666666666666,has_tracking,163
5,neu,1,0.0,has_tracking,163
5,pos,45,0.8258622222222223,has_tracking,163
1,pos,1,0.2617,has_goals,34
2,neg,1,-0.8955,has_goals,34
2,pos,2,0.9569,has_goals,34
3,pos,4,0.7088,has_goals,34
4,pos,6,0.6895833333333333,has_goals,34
5,neg,1,-0.3499,has_goals,34
5,pos,19,0.8481947368421053,has_goals,34
1,neg,7,-0.6723714285714285,has_narrative,32
1,pos,4,0.9242250000000001,has_narrative,32
2,neg,4,-0.419725,has_narrative,32
2,pos,3,0.9188666666666667,has_narrative,32
3,pos,6,0.9019666666666667,has_narrative,32
4,pos,1,0.9551,has_narrative,32
5,neg,3,-0.7718000000000002,has_narrative,32
5,pos,4,0.913375,has_narrative,32
